year,cotton_a2_rs_ha,cotton_yield_qtl_ha,cotton_a2_rs_qtl,soybean_a2_rs_ha,soybean_yield_qtl_ha,soybean_a2_rs_qtl,dap_rs_bag50kg,diesel_rs_litre
2001,14000,6,2333.3333333333335,8500,9.5,894.7368421052631,470,26.5
2002,14500,5.8,2500,9000,9,1000,470,27
2003,15500,6.2,2500,9500,9.8,969.3877551020407,470,28.5
2004,16500,6,2750,10000,9.5,1052.6315789473683,520,31
2005,17500,6.1,2868.852459016394,10800,10,1080,520,34
2006,19000,6.3,3015.873015873016,11500,10.2,1127.450980392157,520,38
2007,21000,6.5,3230.769230769231,12500,10.5,1190.4761904761904,580,40
2008,24000,7,3428.5714285714284,15000,10,1500,1125,45
2009,26000,6.4,4062.5,16500,9.2,1793.4782608695652,900,40
2010,28500,7.2,3958.333333333333,18000,10.8,1666.6666666666665,900,44
2011,31000,7.1,4366.197183098592,20000,10.5,1904.7619047619048,1000,50
2012,34500,6.8,5073.529411764706,22500,10.2,2205.8823529411766,1050,54
2013,37500,6.9,5434.782608695652,24500,10,2450,1100,59
2014,40000,7,5714.285714285715,26000,10.5,2476.190476190476,1100,62
2015,42000,6.7,6268.6567164179105,27500,10.2,2696.0784313725494,1100,55
2016,43500,6.9,6304.347826086956,28500,10.8,2638.8888888888887,1100,55
2017,45000,7.2,6250,30000,11,2727.2727272727275,1175,60
2018,50000,7,7142.857142857143,33000,10.5,3142.8571428571427,1175,70
2019,52000,6.8,7647.058823529412,34500,10.2,3382.3529411764707,1175,73
2020,53500,7,7642.857142857143,35500,10.8,3287.037037037037,1200,70
2021,55000,7.3,7534.246575342466,36500,11,3318.181818181818,1350,84
2022,58000,7.1,8169.014084507043,39000,11.2,3482.1428571428573,1350,92
