year,district,region,suicides
2001,Yavatmal,Vidarbha,589
2002,Yavatmal,Vidarbha,547
2003,Yavatmal,Vidarbha,601
2004,Yavatmal,Vidarbha,673
2005,Yavatmal,Vidarbha,622
2006,Yavatmal,Vidarbha,724
2007,Yavatmal,Vidarbha,685
2008,Yavatmal,Vidarbha,601
2009,Yavatmal,Vidarbha,445
2010,Yavatmal,Vidarbha,489
2011,Yavatmal,Vidarbha,512
2012,Yavatmal,Vidarbha,578
2013,Yavatmal,Vidarbha,498
2014,Yavatmal,Vidarbha,411
2015,Yavatmal,Vidarbha,478
2016,Yavatmal,Vidarbha,432
2017,Yavatmal,Vidarbha,390
2018,Yavatmal,Vidarbha,356
2019,Yavatmal,Vidarbha,421
2020,Yavatmal,Vidarbha,398
2021,Yavatmal,Vidarbha,421
2022,Yavatmal,Vidarbha,413
2001,Amravati,Vidarbha,412
2006,Amravati,Vidarbha,498
2012,Amravati,Vidarbha,423
2017,Amravati,Vidarbha,298
2022,Amravati,Vidarbha,287
2001,Akola,Vidarbha,298
2006,Akola,Vidarbha,356
2012,Akola,Vidarbha,301
2017,Akola,Vidarbha,221
2022,Akola,Vidarbha,198
2001,Washim,Vidarbha,187
2006,Washim,Vidarbha,234
2012,Washim,Vidarbha,198
2017,Washim,Vidarbha,143
2022,Washim,Vidarbha,134
2001,Buldhana,Vidarbha,221
2006,Buldhana,Vidarbha,267
2012,Buldhana,Vidarbha,234
2017,Buldhana,Vidarbha,167
2022,Buldhana,Vidarbha,154
2001,Wardha,Vidarbha,198
2006,Wardha,Vidarbha,244
2012,Wardha,Vidarbha,201
2017,Wardha,Vidarbha,145
2022,Wardha,Vidarbha,134
2001,Aurangabad,Marathwada,89
2006,Aurangabad,Marathwada,112
2012,Aurangabad,Marathwada,145
2017,Aurangabad,Marathwada,123
2022,Aurangabad,Marathwada,134
2001,Latur,Marathwada,67
2006,Latur,Marathwada,89
2012,Latur,Marathwada,112
2017,Latur,Marathwada,98
2022,Latur,Marathwada,89
2001,Pune,Western MH,34
2006,Pune,Western MH,45
2012,Pune,Western MH,67
2017,Pune,Western MH,45
2022,Pune,Western MH,56
2001,Nashik,Western MH,45
2006,Nashik,Western MH,56
2012,Nashik,Western MH,78
2017,Nashik,Western MH,56
2022,Nashik,Western MH,67
