year,state,total_suicides,male,female
2001,Maharashtra,3835,3529,306
2002,Maharashtra,3695,3404,291
2003,Maharashtra,3836,3549,287
2004,Maharashtra,4147,3835,312
2005,Maharashtra,3926,3631,295
2006,Maharashtra,4453,4100,353
2007,Maharashtra,4238,3906,332
2008,Maharashtra,3802,3507,295
2009,Maharashtra,2872,2641,231
2010,Maharashtra,3141,2896,245
2011,Maharashtra,3337,3070,267
2012,Maharashtra,3786,3491,295
2013,Maharashtra,3146,2893,253
2014,Maharashtra,2568,2364,204
2015,Maharashtra,3030,2807,223
2016,Maharashtra,2671,2462,209
2017,Maharashtra,2424,2238,186
2018,Maharashtra,2239,2071,168
2019,Maharashtra,2680,2480,200
2020,Maharashtra,2567,2378,189
2021,Maharashtra,2745,2544,201
2022,Maharashtra,2676,2480,196
