year,msp_rs_qtl,world_price_usd_mt,usd_inr,world_price_rs_qtl
2001,850,178,47.2,840.1600000000001
2002,870,196,48.6,952.5600000000001
2003,890,261,46,1200.6
2004,930,290,45.3,1313.7
2005,970,231,44.1,1018.71
2006,1000,239,45.3,1082.6699999999998
2007,1050,318,41.3,1313.34
2008,1390,453,43.5,1970.55
2009,1390,381,48.4,1844.0399999999997
2010,1440,386,45.7,1764.02
2011,1650,480,46.7,2241.6
2012,2200,538,53.4,2872.92
2013,2500,516,58.6,3023.76
2014,2560,452,61,2757.2
2015,2600,344,64.2,2208.48
2016,2775,355,67.2,2385.6
2017,3050,361,65.1,2350.1099999999997
2018,3399,391,68.4,2674.44
2019,3710,337,70.4,2372.4800000000005
2020,3880,372,74.1,2756.5199999999995
2021,3950,496,73.9,3665.44
2022,4300,579,78.6,4550.94
